GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,CveDB.PreparedStatementCveDb,5,233,0,0,0,23,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoadException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DatabaseException,13,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,DriverLoader.new PrivilegedAction() {...},23,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nvdcve,ConnectionFactory,358,369,29,21,71,116,23,15,1,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,11,13,0,0,3,3,2,3,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,8,8,0,0,4,4,2,2,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,118,56,23,5,19,19,16,9,3,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,124,162,21,13,11,24,17,5,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,35,201,19,33,6,41,17,23,0,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,321,377,53,69,73,95,51,45,18,17
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,107,70,25,7,19,16,20,9,5,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,111,272,23,17,13,63,19,13,2,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cpe,Fields,3,0,0,0,2,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,312,20,64,0,52,20,38,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,56,1,29,0,27
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,69,75,6,4,8,17,4,5,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,102,17,20,0,17,8,14,5,4,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,140,25,5,1,36,8,5,3,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.Element,3,82,0,0,1,18,1,17,1,17
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,165,223,37,17,23,41,28,8,1,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler.Element,8,27,0,0,2,7,2,6,2,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve12Handler,15,236,4,30,1,50,4,17,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,41,0,0,0,17,0,11,0,11
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler.AttributeValues,3,0,0,0,1,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,32,106,0,0,6,31,1,6,1,6
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,21,90,1,3,5,23,4,10,3,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCve20Handler,37,501,6,80,9,111,8,45,2,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,17,99,5,19,4,31,5,11,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,733,84,110,10,88,13,67,2,7,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,3,21,0,2,2,2,1,2,1,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,125,63,18,0,24,6,12,2,3,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,180,310,39,31,28,61,30,11,1,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,31,41,4,6,9,17,5,5,1,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,37,331,11,59,12,78,11,35,2,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,4,0,3,0,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.utils,Pair,67,49,18,2,14,12,14,4,4,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.exception,InvalidDataException,9,0,0,0,4,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.exception,UpdateException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,73,307,6,22,13,67,6,12,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,844,0,46,0,237,0,101,0,78,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nsp,SanitizePackage,8,79,1,5,3,8,2,4,1,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nsp,NspSearch,153,282,27,14,12,57,19,5,0,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nsp,Advisory,35,93,3,1,10,40,9,24,7,24
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,88,261,13,13,20,85,13,44,3,41
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,86,84,25,3,11,16,16,9,2,9
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Object() {...},6,45,0,0,0,2,0,1,0,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,5,43,0,0,0,4,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,102,112,24,6,30,16,22,8,7,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,133,331,27,29,31,69,24,28,2,15
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,130,646,15,35,30,143,26,59,11,49
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,9,29,0,0,0,3,2,2,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,90,411,16,64,23,91,19,44,5,18
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Identifier,22,123,3,3,10,27,7,15,4,15
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,58,0,0,0,5,0,4,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,118,0,28,0,22,0,20,0,6,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,170,0,14,0,38,0,11,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,AbstractTokenizingFilter,0,45,0,4,0,12,0,6,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,LuceneUtils,24,30,4,6,9,8,5,4,2,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,SearchFieldAnalyzer,0,116,0,0,0,16,0,4,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,UrlTokenizingFilter,47,40,6,4,11,10,4,4,0,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,AlphaNumericTokenizer,6,15,0,4,2,3,1,4,1,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,TokenPairConcatenatingFilter,106,95,28,8,15,25,16,7,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.lucene,DependencySimilarity,5,0,0,0,2,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,78,0,0,0,7,0,4,0,4
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.reporting,EscapeTool,16,254,13,51,7,65,13,31,0,12
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.reporting,VelocityLoggerRedirect,47,21,10,2,20,10,10,6,1,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator,324,568,54,63,35,133,42,34,0,13
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.new Object() {...},10,65,0,0,0,1,0,1,0,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,38,132,1,5,18,23,8,10,7,8
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,232,0,19,0,54,0,14,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,5,43,0,0,0,4,1,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,26,177,0,0,4,37,2,19,2,19
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.new Object() {...},3,23,0,0,0,1,0,1,0,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,EvidenceMatcher,54,80,3,15,7,14,9,11,6,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,216,113,34,8,17,22,22,5,1,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,27,318,26,50,9,64,26,28,0,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweDB,84,45,13,5,10,9,10,3,1,3
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler,136,0,16,0,32,0,14,0,6,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,Cpe,75,0,2,0,19,0,9,0,8,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CPEHandler.Element,73,0,0,0,17,0,15,0,15,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update,EngineVersionCheck,97,212,26,16,25,52,23,6,3,5
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater,213,643,23,57,57,143,19,34,0,13
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update,NvdCveUpdater.TimestampRetriever,7,35,0,0,0,8,0,2,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update,UpdateService,0,12,0,0,0,4,0,2,0,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.data.update,CpeUpdater,3,0,0,0,1,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml,XmlEntity,7,1547,2,2,4,260,3,2,1,2
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.xml,XmlInputStream,92,261,11,37,13,54,10,26,2,10
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,AnalysisException,11,5,0,0,6,2,3,1,3,1
Dependency-Check Build-Reporting/dependency-check-core,org.owasp.dependencycheck.analyzer.exception,ArchiveExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.ant.logging,AntLoggerAdapter,330,0,50,0,100,0,57,0,32,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.ant.logging,AntLoggerFactory,12,0,0,0,4,0,2,0,2,0
Dependency-Check Build-Reporting/dependency-check-ant,org.slf4j.impl,StaticLoggerBinder,40,0,0,0,13,0,6,0,6,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.taskdefs,Update,302,0,16,0,83,0,41,0,33,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.taskdefs,Check.ReportFormats,35,0,2,0,7,0,3,0,2,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.taskdefs,Purge,240,0,22,0,51,0,19,0,8,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.taskdefs,Check,996,0,78,0,260,0,122,0,83,0
Dependency-Check Build-Reporting/dependency-check-ant,org.owasp.dependencycheck.taskdefs,SuppressionFile,10,0,0,0,4,0,3,0,3,0
Dependency-Check Build-Reporting/dependency-check-cli,org.owasp.dependencycheck,InvalidScanPathException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Build-Reporting/dependency-check-cli,org.owasp.dependencycheck,CliParser.ARGUMENT,3,0,0,0,1,0,1,0,1,0
Dependency-Check Build-Reporting/dependency-check-cli,org.owasp.dependencycheck,App,1377,0,138,0,316,0,83,0,14,0
Dependency-Check Build-Reporting/dependency-check-cli,org.owasp.dependencycheck,CliParser,1632,0,144,0,256,0,144,0,72,0
Dependency-Check Build-Reporting/dependency-check-maven,org.owasp.dependencycheck.maven,UpdateMojo,83,19,12,2,15,6,11,2,4,2
Dependency-Check Build-Reporting/dependency-check-maven,org.owasp.dependencycheck.maven,CheckMojo,1,44,2,2,1,12,2,5,0,5
Dependency-Check Build-Reporting/dependency-check-maven,org.owasp.dependencycheck.maven,PurgeMojo,91,36,13,3,23,10,12,2,4,2
Dependency-Check Build-Reporting/dependency-check-maven,org.owasp.dependencycheck.maven,BaseDependencyCheckMojo,804,1196,139,85,140,249,98,51,4,33
